start_seconds,end_seconds,duration,is_long
61.340,61.730,0.390,0
66.720,67.470,0.750,0
68.030,68.660,0.630,0
68.770,69.090,0.320,0
72.360,72.670,0.310,0
73.160,73.470,0.310,0
78.480,78.760,0.280,0
78.890,79.300,0.410,0
81.590,82.410,0.820,0
84.590,84.880,0.290,0
85.200,85.720,0.520,0
