timestamp_seconds,frame_idx,face_id,x,y,w,h,emotion,emotion_score
64.033333,121,1,334,95,112,112,neutral,0.8427
64.066667,122,1,333,96,113,113,neutral,0.7295
64.100000,123,1,333,96,115,115,neutral,0.8281
64.133333,124,1,332,95,116,116,neutral,0.9096
64.166667,125,1,332,95,116,116,neutral,0.9463
64.200000,126,1,332,95,116,116,neutral,0.8750
64.233333,127,1,333,95,116,116,neutral,0.6017
64.266667,128,1,333,95,116,116,neutral,0.8210
64.300000,129,1,333,96,115,115,neutral,0.7336
64.333333,130,1,333,96,115,115,neutral,0.9296
64.366667,131,1,334,96,114,114,neutral,0.9700
64.400000,132,1,334,96,115,115,neutral,0.9674
64.433333,133,1,334,96,115,115,neutral,0.9727
64.466667,134,1,334,96,115,115,neutral,0.9795
64.500000,135,1,332,97,116,116,neutral,0.9703
64.533333,136,1,331,97,117,117,neutral,0.9621
64.566667,137,1,330,96,118,118,neutral,0.9358
64.600000,138,1,328,96,119,119,neutral,0.9621
64.633333,139,1,327,97,119,119,neutral,0.9766
64.666667,140,1,327,98,117,117,neutral,0.9789
64.700000,141,1,327,98,116,116,neutral,0.9759
64.733333,142,1,328,100,114,114,neutral,0.9831
64.766667,143,1,327,100,113,113,neutral,0.9805
64.800000,144,1,327,99,114,114,neutral,0.9833
64.833333,145,1,328,99,113,113,neutral,0.9816
64.866667,146,1,327,98,115,115,neutral,0.9815
64.900000,147,1,327,97,115,115,neutral,0.9556
64.933333,148,1,326,96,115,115,neutral,0.9186
64.966667,149,1,325,96,115,115,neutral,0.9663
65.000000,150,1,325,95,115,115,neutral,0.9658
65.033333,151,1,324,93,116,116,neutral,0.9799
65.066667,152,1,324,94,115,115,neutral,0.9885
65.100000,153,1,325,96,111,111,neutral,0.9851
65.133333,154,1,326,98,107,107,neutral,0.9832
65.166667,155,1,324,97,108,108,neutral,0.9801
65.200000,156,1,322,96,110,110,neutral,0.9811
65.233333,157,1,322,97,108,108,neutral,0.9416
65.266667,158,1,322,97,108,108,neutral,0.9380
65.300000,159,1,321,97,107,107,neutral,0.9589
65.333333,160,1,318,95,108,108,neutral,0.9340
65.366667,161,1,313,92,113,113,neutral,0.9351
65.400000,162,1,313,92,112,112,neutral,0.9646
65.433333,163,1,313,94,110,110,neutral,0.9612
65.466667,164,1,309,92,111,111,neutral,0.9728
65.500000,165,1,310,93,107,107,neutral,0.9676
65.533333,166,1,309,96,104,104,neutral,0.9639
65.566667,167,1,307,95,107,107,neutral,0.9698
65.600000,168,1,308,96,106,106,neutral,0.9699
65.633333,169,1,305,95,109,109,neutral,0.9686
65.666667,170,1,305,95,109,109,neutral,0.9693
65.700000,171,1,301,94,111,111,neutral,0.9805
65.733333,172,1,300,94,111,111,neutral,0.9799
65.766667,173,1,296,93,115,115,neutral,0.9610
65.800000,174,1,294,92,117,117,neutral,0.9667
65.833333,175,1,294,94,117,117,neutral,0.9689
65.866667,176,1,293,93,119,119,neutral,0.9669
65.900000,177,1,294,94,118,118,neutral,0.9688
65.933333,178,1,295,96,114,114,neutral,0.9681
65.966667,179,1,295,96,113,113,neutral,0.9745
66.000000,180,1,294,96,112,112,neutral,0.9779
66.033333,181,1,294,96,110,110,neutral,0.9782
66.066667,182,1,295,97,108,108,neutral,0.9794
66.100000,183,1,295,96,108,108,neutral,0.9816
66.133333,184,1,295,95,110,110,neutral,0.9834
66.166667,185,1,293,93,114,114,neutral,0.9766
66.200000,186,1,292,93,113,113,neutral,0.9713
66.233333,187,1,292,94,111,111,neutral,0.9677
66.266667,188,1,292,95,111,111,neutral,0.9540
66.300000,189,1,292,95,110,110,neutral,0.9594
66.333333,190,1,291,94,110,110,neutral,0.9636
