timestamp_seconds,frame_idx,face_id,x,y,w,h,yaw,pitch,eye_away,looking_at_camera
63.266667,98,1,328,94,115,115,-1.4,-1.0,0.306,0
63.300000,99,1,330,95,114,114,-1.0,-2.2,0.353,0
63.333333,100,1,328,94,115,115,-1.1,-3.0,0.319,0
63.366667,101,1,329,93,114,114,-1.1,-3.3,0.273,1
63.400000,102,1,329,93,113,113,-1.1,-4.2,0.307,0
63.433333,103,1,330,93,113,113,-0.9,-4.1,0.272,1
63.466667,104,1,330,92,112,112,-0.7,-4.3,0.297,1
63.500000,105,1,330,92,112,112,-0.5,-4.7,0.290,1
63.533333,106,1,330,92,112,112,-0.2,-5.1,0.278,1
63.566667,107,1,331,92,112,112,-0.1,-5.0,0.245,1
63.600000,108,1,331,93,111,111,-0.0,-5.1,0.291,1
63.633333,109,1,331,93,111,111,0.2,-5.1,0.271,1
63.666667,110,1,331,93,112,112,0.7,-4.9,0.287,1
63.700000,111,1,330,93,112,112,0.8,-4.8,0.294,1
63.733333,112,1,330,93,112,112,0.9,-4.9,0.321,0
63.766667,113,1,329,93,112,112,0.9,-4.5,0.340,0
63.800000,114,1,330,93,113,113,1.1,-4.2,0.405,0
63.833333,115,1,330,92,113,113,1.3,-4.5,0.578,0
63.866667,116,1,330,92,112,112,1.7,-4.3,0.552,0
63.900000,117,1,329,92,114,114,1.6,-4.1,0.638,0
63.933333,118,1,330,92,115,115,2.2,-4.2,0.653,0
63.966667,119,1,332,92,114,114,2.7,-4.7,0.668,0
64.000000,120,1,333,95,112,112,2.1,-3.8,0.662,0
64.033333,121,1,334,95,112,112,2.3,-3.5,0.672,0
64.066667,122,1,333,96,113,113,2.9,-2.3,0.721,0
64.100000,123,1,333,96,115,115,3.0,-1.8,0.736,0
64.133333,124,1,332,95,116,116,3.2,-1.0,0.677,0
64.166667,125,1,332,95,116,116,3.7,-0.5,0.639,0
64.200000,126,1,332,95,116,116,3.6,-0.8,0.615,0
64.233333,127,1,333,95,116,116,3.7,-1.0,0.609,0
64.266667,128,1,333,95,116,116,3.6,-0.8,0.605,0
64.300000,129,1,333,96,115,115,3.5,-0.2,0.569,0
64.333333,130,1,333,96,115,115,3.6,-0.1,0.592,0
64.366667,131,1,334,96,114,114,3.4,0.1,0.571,0
64.400000,132,1,334,96,115,115,3.6,0.4,0.579,0
64.433333,133,1,334,96,115,115,3.9,0.7,0.593,0
64.466667,134,1,334,96,115,115,4.2,1.5,0.620,0
64.500000,135,1,332,97,116,116,4.1,1.8,0.634,0
64.533333,136,1,331,97,117,117,4.3,2.2,0.626,0
64.566667,137,1,330,96,118,118,4.2,2.6,0.609,0
64.600000,138,1,328,96,119,119,3.8,2.7,0.598,0
64.633333,139,1,327,97,119,119,3.8,3.0,0.594,0
64.666667,140,1,327,98,117,117,3.5,2.7,0.634,0
64.700000,141,1,327,98,116,116,3.5,2.5,0.623,0
64.733333,142,1,328,100,114,114,3.7,2.3,0.560,0
64.766667,143,1,327,100,113,113,3.4,2.3,0.563,0
64.800000,144,1,327,99,114,114,3.4,2.1,0.553,0
64.833333,145,1,328,99,113,113,3.7,2.1,0.540,0
64.866667,146,1,327,98,115,115,3.8,1.5,0.580,0
64.900000,147,1,327,97,115,115,3.7,1.5,0.605,0
64.933333,148,1,326,96,115,115,3.6,1.4,0.581,0
64.966667,149,1,325,96,115,115,3.3,1.1,0.599,0
65.000000,150,1,325,95,115,115,3.3,0.7,0.605,0
65.033333,151,1,324,93,116,116,3.0,-0.6,0.560,0
65.066667,152,1,324,94,115,115,3.1,-0.3,0.569,0
65.100000,153,1,325,96,111,111,3.1,0.6,0.620,0
65.133333,154,1,326,98,107,107,3.0,0.7,0.493,0
65.166667,155,1,324,97,108,108,2.6,0.5,0.519,0
65.200000,156,1,322,96,110,110,2.1,-0.1,0.450,0
65.233333,157,1,322,97,108,108,1.8,0.2,0.516,0
65.266667,158,1,322,97,108,108,1.7,0.3,0.525,0
65.300000,159,1,321,97,107,107,1.9,0.0,0.574,0
65.333333,160,1,318,95,108,108,1.8,-0.2,0.582,0
65.366667,161,1,313,92,113,113,1.4,-0.2,0.578,0
65.400000,162,1,313,92,112,112,1.1,-0.7,0.493,0
65.433333,163,1,313,94,110,110,1.2,0.1,0.489,0
65.466667,164,1,309,92,111,111,0.1,-0.2,0.428,0
65.500000,165,1,310,93,107,107,-0.3,0.0,0.406,0
65.533333,166,1,309,96,104,104,-1.3,0.1,0.379,0
65.566667,167,1,307,95,107,107,-1.7,0.3,0.374,0
65.600000,168,1,308,96,106,106,-2.0,0.6,0.399,0
65.633333,169,1,305,95,109,109,-2.1,0.8,0.422,0
65.666667,170,1,305,95,109,109,-2.0,1.1,0.417,0
65.700000,171,1,301,94,111,111,-3.2,1.8,0.241,1
65.733333,172,1,300,94,111,111,-3.0,2.4,0.269,1
65.766667,173,1,296,93,115,115,-3.5,3.0,0.275,1
65.800000,174,1,294,92,117,117,-3.6,3.4,0.278,1
65.833333,175,1,294,94,117,117,-3.7,3.8,0.319,0
65.866667,176,1,293,93,119,119,-4.0,4.2,0.320,0
65.900000,177,1,294,94,118,118,-4.7,4.5,0.330,0
65.933333,178,1,295,96,114,114,-5.4,4.2,0.429,0
65.966667,179,1,295,96,113,113,-5.6,4.2,0.406,0
66.000000,180,1,294,96,112,112,-6.3,4.1,0.389,0
66.033333,181,1,294,96,110,110,-6.7,3.5,0.389,0
66.066667,182,1,295,97,108,108,-6.9,3.4,0.403,0
66.100000,183,1,295,96,108,108,-7.2,3.2,0.427,0
66.133333,184,1,295,95,110,110,-7.3,2.4,0.417,0
66.166667,185,1,293,93,114,114,-7.3,2.7,0.439,0
66.200000,186,1,292,93,113,113,-7.5,2.2,0.447,0
66.233333,187,1,292,94,111,111,-8.0,1.9,0.449,0
66.266667,188,1,292,95,111,111,-7.7,2.1,0.487,0
66.300000,189,1,292,95,110,110,-7.7,1.6,0.477,0
66.333333,190,1,291,94,110,110,-7.7,1.5,0.462,0
66.366667,191,1,291,94,111,111,-7.8,1.2,0.476,0
66.400000,192,1,290,94,109,109,-8.4,1.4,0.452,0
66.433333,193,1,290,94,109,109,-8.3,1.4,0.458,0
66.466667,194,1,291,94,109,109,-8.5,1.6,0.483,0
66.500000,195,1,292,95,109,109,-8.4,2.0,0.483,0
66.533333,196,1,292,94,109,109,-8.1,1.6,0.520,0
66.566667,197,1,292,95,108,108,-8.3,1.3,0.434,0
66.600000,198,1,293,94,108,108,-8.0,1.1,0.536,0
66.633333,199,1,294,94,107,107,-8.0,0.8,0.476,0
66.666667,200,1,295,94,106,106,-7.6,0.5,0.481,0
66.700000,201,1,296,94,106,106,-7.4,0.4,0.502,0
66.733333,202,1,296,94,106,106,-7.3,0.4,0.484,0
66.766667,203,1,296,94,103,103,-7.4,-0.1,0.440,0
66.800000,204,1,296,93,104,104,-7.1,-0.3,0.478,0
66.833333,205,1,296,90,103,103,-7.5,-1.4,0.454,0
66.866667,206,1,298,91,101,101,-7.3,-1.9,0.452,0
66.900000,207,1,296,89,106,106,-7.0,-1.7,0.436,0
66.933333,208,1,299,89,106,106,-7.1,-1.6,0.437,0
66.966667,209,1,302,90,104,104,-6.5,-2.3,0.462,0
67.000000,210,1,304,92,101,101,-6.2,-2.5,0.587,0
67.033333,211,1,307,91,100,100,-5.5,-2.9,0.565,0
67.066667,212,1,306,90,102,102,-5.0,-2.9,0.562,0
67.100000,213,1,309,90,99,99,-4.6,-3.0,0.496,0
67.133333,214,1,311,90,98,98,-3.8,-2.5,0.403,0
